"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;;
Código de la Ocupación;Nombre de la Ocupación;Código CIUO-08;Observaciones sobre la CIUO-08;Código CNO;Observaciones sobre la CNO;
13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;;;"0423*";Denominaciones parciales;
13440;Directores y gerentes de servicios de bienestar social, comunitario y correccional / Directoras y gerentas de servicios de bienestar social, comunitario y correccional;;;4176*;Denominaciones parciales;
13451;Directores y gerentes de programas de política educativa / Directoras y gerentas de programas de política educativa;1345*;Denominaciones parciales;0413*;Denominaciones parciales;
13452;Directores y administradores de instituciones de educación y formación / Directoras y administradoras de instituciones de educación y formación;1345*;Denominaciones parciales;0421;Denominaciones completas;
13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;"1120*";Denominaciones parciales;"0013*";Denominaciones parciales;
13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros / Directoras y gerentas de sucursales de bancos, de servicios financieros y de seguros;1346;Denominaciones completas;0122*;Denominaciones parciales;
13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;1349*;Denominaciones parciales;"0114*";Denominaciones parciales;
13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;;;"0511";Denominaciones completas;
13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;;;"1124*";Denominaciones parciales;
13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;;;5111*;Denominaciones parciales;
13492;Directores y gerentes de servicios y procesos de negocio / Directoras y gerentes de servicios y procesos de negocio;1349*;Denominaciones parciales;0017;Denominaciones completas;
13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;"1211*";Denominaciones parciales;"0123*";Denominaciones parciales;
13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;1349*;Denominaciones parciales;"0212*";Denominaciones parciales;
13499;Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones / Directoras y gerentes de servicios profesionales no clasificados en otras ocupaciones;;;4112*;Denominaciones parciales;
14110;Directores y gerentes de servicios hoteleros y hospedaje / Directoras y gerentes de servicios hoteleros y hospedaje;1411;Denominaciones completas;0632*;Denominaciones parciales;
14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;1412;Denominaciones completas;"0631";Denominaciones completas;
14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;;;"6212*";Denominaciones parciales;
14120;Gerentes y administradores de servicios de alimentos y restaurantes / Gerentas y administradoras de servicios de alimentos y restaurantes;;;6213*;Denominaciones parciales;
14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;1420;Denominaciones completas;"0611*";Denominaciones parciales;
14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;;;"0621*";Denominaciones parciales;
14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;;;"0651*";Denominaciones parciales;
14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;;;"0821*";Denominaciones parciales;
14200;Gerentes de comercios al por mayor y al por menor / Gerentas de comercios al por mayor y al por menor;;;6212*;Denominaciones parciales;
14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;1431*;Denominaciones parciales;"0512*";Denominaciones parciales;
14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;;;"0513*";Denominaciones parciales;
14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;;;6234*;Denominaciones parciales;
14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;1431*;Denominaciones parciales;"0513*";Denominaciones parciales;
14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;;;"0632*";Denominaciones parciales;
14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;;;"0651*";Denominaciones parciales;
14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;;;0821*;Denominaciones parciales;
14391;Gerentes y administradores de propiedad horizontal / Gerentas y administradoras de propiedad horizontal;1439*;Denominaciones parciales;1222;Denominaciones completas;
14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;1439*;Denominaciones parciales;"0621*";Denominaciones parciales;
14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;;;"0651*";Denominaciones parciales;
14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;;;0821*;Denominaciones parciales;
21110;Físicos y astrónomos / Físicas y astrónomas;2111;Denominaciones completas;;;
21120;Meteorólogos / Meteorólogas;2112;Denominaciones completas;2114;Denominaciones completas;
21130;Químicos / Químicas;"2113*";Denominaciones parciales;"2112*";Denominaciones parciales;
21130;Químicos / Químicas;3111*;Denominaciones parciales;"2142*";Denominaciones parciales;
21130;Químicos / Químicas;;;2211*;Denominaciones parciales;
21141;Geólogos, geofísicos y geoquímicos / Geólogas, geofísicas y geoquímicas;2114*;Denominaciones parciales;2113*;Denominaciones parciales;
21142;Gemólogos / Gemólogas;2114*;Denominaciones parciales;2224;Denominaciones completas;
21143;Oceanógrafos / Oceanógrafas;2114*;Denominaciones parciales;"2113*";Denominaciones parciales;
21143;Oceanógrafos / Oceanógrafas;;;2115;Denominaciones completas;
21200;Matemáticos, actuarios y estadísticos / Matemáticas, actuarias y estadísticas;2120;Denominaciones completas;2161*;Denominaciones parciales;
21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;2131;Denominaciones completas;"2111*";Denominaciones parciales;
21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;;;"2112*";Denominaciones parciales;
21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;;;"2121*";Denominaciones parciales;
21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;;;"3111*";Denominaciones parciales;
21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;;;3114*;Denominaciones parciales;
21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;2132*;Denominaciones parciales;"2123*";Denominaciones parciales;
21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;;;"2146*";Denominaciones parciales;
21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;;;9217*;Denominaciones parciales;
21322;Silvicultores y forestales / Silvicultoras y forestales;2132*;Denominaciones parciales;"2122*";Denominaciones parciales;
21322;Silvicultores y forestales / Silvicultoras y forestales;;;2123*;Denominaciones parciales;
21323;Extensionistas agropecuarios y forestales de bosques naturales;2132*;Denominaciones parciales;"2123*";Denominaciones parciales;
