"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Principal;
2;22612;Odontólogos especialistas / Odontólogas especialistas;SABI;Salud y bienestar;
2;22620;Farmacéuticos y químicos farmacéuticos / Farmacéuticas y químicas farmacéuticas;INQU;Industria química;
2;22630;Profesionales de la salud y la higiene laboral y ambiental;SABI;Salud y bienestar;
2;22640;Fisioterapeutas;SABI;Salud y bienestar;
2;22650;Nutricionistas dietistas;SABI;Salud y bienestar;
2;22660;Fonoaudiólogos y terapeutas del lenguaje / Fonoaudiólogas y terapeutas del lenguaje;SABI;Salud y bienestar;
2;22670;Optómetras;SABI;Salud y bienestar;
2;22691;Terapeutas ocupacionales;SABI;Salud y bienestar;
2;22692;Profesionales en terapia respiratoria;SABI;Salud y bienestar;
2;22693;Otros profesionales de terapia / Otras profesionales de terapia;SABI;Salud y bienestar;
2;22699;Profesionales de la salud no clasificados en otras ocupaciones;SABI;Salud y bienestar;
2;23100;Profesores de instituciones de educación superior / Profesoras de instituciones de educación superior;EDFO;Educación y formación;
2;23200;Profesores de formación profesional / Profesoras de formación profesional;EDFO;Educación y formación;
2;23300;Profesores de educación secundaria / Profesoras de educación secundaria;EDFO;Educación y formación;
2;23410;Profesores de educación básica primaria / Profesoras de educación básica primaria;EDFO;Educación y formación;
2;23420;Profesores de primera infancia y preescolar / Profesoras de primera infancia y preescolar;EDFO;Educación y formación;
2;23510;Especialistas en métodos y procesos pedagógicos;EDFO;Educación y formación;
2;23521;Profesores e instructores de educación especial e inclusiva / Profesoras e instructoras de educación especial e inclusiva;EDFO;Educación y formación;
2;23522;Pedagogos reeducadores / Pedagogas reeducadoras;EDFO;Educación y formación;
2;23530;Otros profesores de idiomas / Otras profesoras de idiomas;EDFO;Educación y formación;
2;23540;Otros profesores de música / Otras profesoras de música;EDFO;Educación Y Formación;
2;23550;Otros profesores de artes / Otras profesoras de artes;EDFO;Educación y formación;
2;23560;Instructores de tecnología de la información / Instructoras de tecnología de la información;EDFO;Educación y formación;
2;23591;Orientadores educativos / Orientadoras educativas;EDFO;Educación y formación;
2;23599;Otros profesionales de la educación no clasificados en otras ocupaciones / Otras profesionales de la educación no clasificados en otras ocupaciones;EDFO;Educación y formación;
2;24111;Contadores / Contadoras;AFDE;Administración, finanzas y derecho;
2;24112;Auditores financieros y contables / Auditoras financieras y contables;AFDE;Administración, finanzas y derecho;
2;24120;Asesores financieros y de inversiones / Asesoras financieras y de inversiones;AFDE;Administración, finanzas y derecho;
2;24130;Analistas financieros / Analistas financieras;AFDE;Administración, finanzas y derecho;
2;24210;Profesionales y analistas de gestión y organización;AFDE;Administración, finanzas y derecho;
2;24220;Profesionales en políticas sociales y de administración;AFDE;Administración, finanzas y derecho;
2;24231;Profesionales de talento humano;AFDE;Administración, finanzas y derecho;
2;24232;Consejeros de servicios de empleo / Consejeras de servicios de empleo;AFDE;Administración, finanzas y derecho;
2;24241;Profesionales de formación y desarrollo de personal;AFDE;Administración, finanzas y derecho;
2;24242;Evaluadores de competencias laborales / Evaluadoras de competencias laborales;AFDE;Administración, finanzas y derecho;
2;24311;Profesionales en mercadeo y publicidad;COMP;Comercio, mercadeo y publicidad;
2;24312;Administradores de comunidades virtuales / Administradoras de comunidades virtuales;COMP;Comercio, mercadeo y publicidad;
2;24313;Profesionales en negocios internacionales;COMP;Comercio, mercadeo y publicidad;
2;24320;Profesionales de relaciones públicas y comunicaciones;COMP;Comercio, mercadeo y publicidad;
2;24330;Profesionales de ventas técnicas y médicas (excluyendo las TIC);COMP;Comercio, mercadeo y publicidad;
2;24340;Profesionales de ventas de tecnología de la información y las comunicaciones;COMP;Comercio, mercadeo y publicidad;
2;25110;Analistas de sistemas;TICO;Tecnologías de la información y las comunicaciones;
2;25120;Desarrolladores de software / Desarrolladoras de software;TICO;Tecnologías de la información y las comunicaciones;
