"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Nivel de Competencia;
2;26531;Compositores coreográficos e intérpretes de danza / Compositoras coreográficas e intérpretes de danza;4;
2;26532;Bailarines y otros ejecutantes de la danza / Bailarinas y otras ejecutantes de la danza;3;
2;26541;Productores, directores y editores de cine, teatro y afines / Productoras, directoras y editoras de cine, teatro y afines;4;
2;26542;Productores de campo para las artes escénicas y audiovisuales / Productoras de campo para las artes escénicas y audiovisuales;3;
2;26543;Realizadores y coordinadores de las artes escénicas, audiovisuales y afines / Realizadoras y coordinadoras de las artes escénicas, audiovisuales y afines;3;
2;26551;Actores / Actrices;4;
2;26559;Otros actores no clasificados en otras ocupaciones / Otras actrices no clasificadas en otras ocupaciones;2;
2;26560;Locutores y presentadores de radio, televisión y otros medios de comunicación / Locutoras y presentadoras de radio, televisión y otros medios de comunicación;3;
2;26591;Artistas creativos y ejecutantes de técnicas circenses / Artistas creativas y ejecutantes de técnicas circenses;3;
2;26599;Artistas creativos e interpretativos no clasificados en otras ocupaciones / Artistas creativas e interpretativas no clasificadas en otras ocupaciones;3;
3;31111;Técnicos en física y química / Técnicas en física y química;3;
3;31112;Técnicos en geología / Técnicas en geología;3;
3;31113;Técnicos en meteorología / Técnicas en meteorología;3;
3;31114;Técnicos en metrología / Técnicas en metrología;3;
3;31115;Auxiliares de laboratorio;2;
3;31121;Técnicos en construcción y arquitectura / Técnicas en construcción y arquitectura;3;
3;31122;Técnicos en topografía / Técnicas en topografía;3;
3;31123;Técnicos en cartografía / Técnicas en cartografía;3;
3;31130;Técnicos en electricidad / Técnicas en electricidad;3;
3;31141;Técnicos en electrónica / Técnicas en electrónica;3;
3;31142;Técnicos en automatización e instrumentación / Técnicas en automatización e instrumentación;3;
3;31150;Técnicos en ingeniería mecánica / Técnicas en ingeniería mecánica;3;
3;31160;Técnicos en química industrial / Técnicas en química industrial;3;
3;31171;Técnicos de minas y metalurgia / Técnicas de minas y metalurgia;3;
3;31172;Operarios de exploración geofísica y geológica / Operarias de exploración geofísica y geológica;3;
3;31181;Delineantes y dibujantes técnicos / Delineantes y dibujantes técnicas;3;
3;31182;Auxiliares de producción gráfica;2;
3;31183;Graficadores de imágenes computarizadas / Graficadoras de imágenes computarizadas;3;
3;31191;Técnicos en fabricación industrial / Técnicas en fabricación industrial;3;
3;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;3;
3;31211;Supervisores de minería y canteras / Supervisoras de minería y canteras;3;
3;31212;Supervisores de perforación y servicio a pozos de petróleo y gas / Supervisoras de perforación y servicio a pozos de petróleo y gas;3;
3;31213;Supervisores y analistas de producción de hidrocarburos / Supervisoras y analistas de producción de hidrocarburos;3;
3;31221;Supervisores de procesamiento de alimentos y bebidas / Supervisoras de procesamiento de alimentos y bebidas;3;
3;31222;Supervisores de fabricación y procesamiento de productos de plástico y caucho / Supervisoras de fabricación y procesamiento de productos de plástico y caucho;3;
3;31223;Supervisores de procesamiento de la madera y producción de pulpa y papel / Supervisoras de procesamiento de la madera y producción de pulpa y papel;3;
