"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;ID;Nombre del Conocimiento;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;10;Ingeniería y tecnología;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;28;Leyes y gobierno;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;7;Producción y procesamiento;
1;13210;Directores y gerentes de industrias manufactureras / Directoras y gerentas de industrias manufactureras;85;Seguridad y salud en el trabajo;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);1;Gerencia y administración;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);6;Gestión del talento humano y de personal;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);10;Ingeniería y tecnología;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);85;Seguridad y salud en el trabajo;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);5;Servicio al cliente;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);2;Servicios de oficina y administrativos;
1;13220;Directores y gerentes de producción primaria (excepto agricultura) / Directoras y gerentas de producción primaria (excepto agricultura);92;Tecnologías de protección y gestión del medio ambiente;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;12;Construcción e ingeniería civil;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;11;Diseño;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;20;Geografía y territorio;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;1;Gerencia y administración;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;23;Idioma extranjero;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;10;Ingeniería y tecnología;
1;13230;Directores y gerentes de empresas de construcción / Directoras y gerentas de empresas de construcción;35;Interpretación de planos;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;100;Cadena de suministro;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;1;Gerencia y administración;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;6;Gestión del talento humano y de personal;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;36;Manejo de las TIC;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;5;Servicio al cliente;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;2;Servicios de oficina y administrativos;
1;13241;Directores y gerentes de compras y adquisiciones / Directoras y gerentas de compras y adquisiciones;31;Servicios de transporte;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;1;Gerencia y administración;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;6;Gestión del talento humano y de personal;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;28;Leyes y gobierno;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;36;Manejo de las TIC;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;5;Servicio al cliente;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;2;Servicios de oficina y administrativos;
1;13242;Directores y gerentes de servicios de correo y mensajería / Directoras y gerentas de servicios de correo y mensajería;31;Servicios de transporte;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;100;Cadena de suministro;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;1;Gerencia y administración;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;6;Gestión del talento humano y de personal;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;23;Idioma extranjero;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;36;Manejo de las TIC;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;85;Seguridad y salud en el trabajo;
1;13243;Directores y gerentes de transporte, distribución y logística / Directoras y gerentas de transporte, distribución y logística;2;Servicios de oficina y administrativos;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;100;Cadena de suministro;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;1;Gerencia y administración;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;6;Gestión del talento humano y de personal;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;5;Servicio al cliente;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;2;Servicios de oficina y administrativos;
1;13244;Directores y gerentes de cadena de suministro / Directoras y gerentas de cadena de suministro;31;Servicios de transporte;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;63;Desarrollo y análisis de software y aplicaciones;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;1;Gerencia y administración;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;10;Ingeniería y tecnología;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;36;Manejo de las TIC;
1;13301;Directores y gerentes de telecomunicaciones / Directoras y gerentas de telecomunicaciones;29;Telecomunicación;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;63;Desarrollo y análisis de software y aplicaciones;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;65;Diseño y administración de redes y bases de datos;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;1;Gerencia y administración;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;6;Gestión del talento humano y de personal;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;10;Ingeniería y tecnología;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;36;Manejo de las TIC;
1;13302;Directores y gerentes de sistemas de información y procesamiento de datos / Directoras y gerentas de sistemas de información y procesamiento de datos;2;Servicios de oficina y administrativos;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;65;Diseño y administración de redes y bases de datos;
1;13303;Directores y gerentes de comunicaciones y audiovisuales / Directoras y gerentas de comunicaciones y audiovisuales;1;Gerencia y administración;
