"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;Código de la Ocupación Afin;Nombre de la Ocupación Afin;
1;14311;Directores y gerentes de empresas de música, artes escénicas y cultura / Directoras y gerentes de empresas de música, artes escénicas y cultura;13491;Directores y gerentes de archivo, biblioteca, museo y galería de arte / Directoras y gerentas de archivo, biblioteca, museo y galería de arte;
1;14312;Directores y gerentes de recreación, actividad física y deportes / Directoras y gerentes de recreación, actividad física y deportes;12220;Directores y gerentes de publicidad y relaciones públicas / Directoras y gerentas de publicidad y relaciones públicas;
1;14391;Gerentes y administradores de propiedad horizontal / Gerentas y administradoras de propiedad horizontal;33340;Agentes inmobiliarios / Agentes inmobiliarias;
1;14399;Otros gerentes y administradores de servicios no clasificados en otras ocupaciones / Otras gerentas y administradoras de servicios no clasificados en otras ocupaciones;33320;Coordinadores y productores de conferencias, eventos y espectáculos / Coordinadoras y productoras de conferencias, eventos y espectáculos;
2;21110;Físicos y astrónomos / Físicas y astrónomas;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;
2;21110;Físicos y astrónomos / Físicas y astrónomas;21120;Meteorólogos / Meteorólogas;
2;21110;Físicos y astrónomos / Físicas y astrónomas;21130;Químicos / Químicas;
2;21110;Físicos y astrónomos / Físicas y astrónomas;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;
2;21110;Físicos y astrónomos / Físicas y astrónomas;22120;Médicos especialistas / Médicas especialistas;
2;21110;Físicos y astrónomos / Físicas y astrónomas;31199;Técnicos en ciencias físicas y en ingeniería no clasificados en otras ocupaciones / Técnicas en ciencias físicas y en ingeniería no clasificados en otras ocupaciones;
2;21110;Físicos y astrónomos / Físicas y astrónomas;32111;Técnicos y tecnólogos en imágenes diagnósticas / Técnicas y tecnólogas en imágenes diagnósticas;
2;21120;Meteorólogos / Meteorólogas;21110;Físicos y astrónomos / Físicas y astrónomas;
2;21120;Meteorólogos / Meteorólogas;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;
2;21120;Meteorólogos / Meteorólogas;21331;Profesionales ambientales y ecologistas;
2;21120;Meteorólogos / Meteorólogas;21430;Ingenieros medioambientales / Ingenieras medioambientales;
2;21120;Meteorólogos / Meteorólogas;31113;Técnicos en meteorología / Técnicas en meteorología;
2;21130;Químicos / Químicas;12230;Directores y gerentes de ingeniería, investigación y desarrollo / Directoras y gerentas de ingeniería, investigación y desarrollo;
2;21130;Químicos / Químicas;21310;Biólogos, botánicos, zoólogos y afines / Biólogas, botánicas, zoólogas y afines;
2;21130;Químicos / Químicas;21450;Ingenieros químicos / Ingenieras químicas;
2;21130;Químicos / Químicas;22620;Farmacéuticos y químicos farmacéuticos / Farmacéuticas y químicas farmacéuticas;
2;21130;Químicos / Químicas;31111;Técnicos en física y química / Técnicas en física y química;
2;21130;Químicos / Químicas;31160;Técnicos en química industrial / Técnicas en química industrial;
2;21130;Químicos / Químicas;31330;Controladores de instalaciones de procesamiento de productos químicos / Controladoras de instalaciones de procesamiento de productos químicos;
