Código del Gran Grupo;Nombre del Gran Grupo;Código del Subgrupo Principal;Nombre del Subgrupo Principal;Código del Subgrupo;Nombre del Subgrupo;Código del Grupo Primario;Nombre del Grupo Primario;Código de la Ocupación;Nombre de la Ocupación;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2132;Agrónomos, silvicultores, zootecnistas y afines;21321;Agrónomos, agroecólogos, agrícolas, pecuarios y zootecnistas / Agrónomas, agroecólogas, agrícolas, pecuarias y zootecnistas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2132;Agrónomos, silvicultores, zootecnistas y afines;21322;Silvicultores y forestales / Silvicultoras y forestales;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2132;Agrónomos, silvicultores, zootecnistas y afines;21323;Extensionistas agropecuarios y forestales de bosques naturales;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2133;Profesionales de la protección medioambiental y gestión de riesgo de desastres;21331;Profesionales ambientales y ecologistas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;213;Profesionales en ciencias biológicas;2133;Profesionales de la protección medioambiental y gestión de riesgo de desastres;21332;Profesionales en gestión de riesgo de desastres;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2141;Ingenieros industriales y de producción;21410;Ingenieros industriales y de producción / Ingenieras industriales y de producción;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2142;Ingenieros civiles;21420;Ingenieros civiles / Ingenieras civiles;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2143;Ingenieros medioambientales;21430;Ingenieros medioambientales / Ingenieras medioambientales;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2144;Ingenieros mecánicos, navales y aeronáuticos;21441;Ingenieros mecánicos / Ingenieras mecánicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2144;Ingenieros mecánicos, navales y aeronáuticos;21442;Ingenieros navales / Ingenieras navales;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2144;Ingenieros mecánicos, navales y aeronáuticos;21443;Ingenieros aeronáuticos / Ingenieras aeronáuticas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2145;Ingenieros químicos;21450;Ingenieros químicos / Ingenieras químicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2146;Ingenieros de minas, metalúrgicos, petróleos y afines;21461;Ingenieros de minas / Ingenieras de minas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2146;Ingenieros de minas, metalúrgicos, petróleos y afines;21462;Ingenieros metalúrgicos / Ingenieras metalúrgicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2146;Ingenieros de minas, metalúrgicos, petróleos y afines;21463;Ingenieros de petróleo y gas / Ingenieras de petróleo y gas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2149;Ingenieros no clasificados en otros grupos primarios;21491;Ingenieros de materiales / Ingenieras de materiales;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2149;Ingenieros no clasificados en otros grupos primarios;21492;Ingenieros biomédicos y biológicos / Ingenieras biomédicas y biológicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;214;Ingenieros (excluyendo Ingenieros en electrotecnología);2149;Ingenieros no clasificados en otros grupos primarios;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;215;Ingenieros en electrotecnología;2151;Ingenieros electricistas;21510;Ingenieros electricistas / Ingenieras electricistas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;215;Ingenieros en electrotecnología;2152;Ingenieros electrónicos, automatización y afines;21521;Ingenieros electrónicos / Ingenieras electrónicas;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;215;Ingenieros en electrotecnología;2152;Ingenieros electrónicos, automatización y afines;21522;Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación;
2;PROFESIONALES, CIENTÍFICOS E INTELECTUALES;21;PROFESIONALES DE LAS CIENCIAS Y DE LA INGENIERÍA;215;Ingenieros en electrotecnología;2153;Ingenieros de telecomunicaciones, audio y sonido;21531;Ingenieros de telecomunicaciones / Ingenieras de telecomunicaciones;
