"CLASIFICACIÓN ÚNICA DE OCUPACIONES
PARA COLOMBIA
CUOC 2025";;;;;
Código del Gran Grupo;Código de la Ocupación;Nombre de la Ocupación;SIGLA;Área de Cualificación Complementaria;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;AGVE;Agropecuario, silvicultura, pesca, acuicultura y veterinaria;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;CNME;Ciencias naturales, matemáticas y estadística;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;ETAL;Elaboración y transformación de alimentos;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;ELCA;Electrónica y automatización;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;LIAG;Literatura y artes gráficas;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;LOTR;Logística y transporte;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;PEEL;Producción de energía y electricidad;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;SABI;Salud y bienestar;
2;21499;Ingenieros no clasificados en otras ocupaciones / Ingenieras no clasificadas en otras ocupaciones;SEGU;Seguridad;
2;21521;Ingenieros electrónicos / Ingenieras electrónicas;TICO;Tecnologías de la información y las comunicaciones;
2;21522;Ingenieros de automatización e instrumentación / Ingenieras de automatización e instrumentación;TICO;Tecnologías de la información y las comunicaciones;
2;21532;Ingenieros y productores de audio y sonido / Ingenieras y productoras de audio y sonido;TICO;Tecnologías de la información y las comunicaciones;
2;21610;Arquitectos / Arquitectas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21620;Arquitectos paisajistas / Arquitectas paisajistas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21631;Diseñadores industriales y de productos / Diseñadoras industriales y de productos;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21631;Diseñadores industriales y de productos / Diseñadoras industriales y de productos;TCCD;Textil, cuero, confección y diseño de modas;
2;21631;Diseñadores industriales y de productos / Diseñadoras industriales y de productos;TMFM;Transformación de la madera y fabricación de muebles;
2;21632;Diseñadores de vestuario y moda / Diseñadoras de vestuario y moda;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21633;Diseñadores de espacios / Diseñadoras de espacios;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;21634;Diseñadores de servicios / Diseñadoras de servicios;COMP;Comercio, mercadeo y publicidad;
2;21634;Diseñadores de servicios / Diseñadoras de servicios;AVEM;Audiovisuales, y artes escénicas y música;
2;21640;Planificadores urbanos, regionales y de tránsito / Planificadoras urbanas, regionales y de tránsito;AFDE;Administración, finanzas y derecho;
2;21640;Planificadores urbanos, regionales y de tránsito / Planificadoras urbanas, regionales y de tránsito;LOTR;Logística y transporte;
2;21650;Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales;CNME;Ciencias naturales, matemáticas y estadística;
2;21650;Cartógrafos e ingenieros topográficos y catastrales / Cartógrafas e ingenieras topográficas y catastrales;EMCP;Exploración y extracción de minas, canteras, petróleo y gas;
2;21661;Diseñadores gráficos / Diseñadoras gráficas;AVEM;Audiovisuales, y artes escénicas y música;
2;21661;Diseñadores gráficos / Diseñadoras gráficas;COMP;Comercio, mercadeo y publicidad;
2;21661;Diseñadores gráficos / Diseñadoras gráficas;TICO;Tecnologías de la información y las comunicaciones;
2;21662;Diseñadores de imágenes computarizadas e interacción digital / Diseñadoras de imágenes computarizadas e interacción digital;LIAG;Literatura y artes gráficas;
2;21662;Diseñadores de imágenes computarizadas e interacción digital / Diseñadoras de imágenes computarizadas e interacción digital;TICO;Tecnologías de la información y las comunicaciones;
2;22620;Farmacéuticos y químicos farmacéuticos / Farmacéuticas y químicas farmacéuticas;SABI;Salud y bienestar;
2;22630;Profesionales de la salud y la higiene laboral y ambiental;AFDE;Administración, finanzas y derecho;
2;22640;Fisioterapeutas;AFIR;Actividades físicas, deportivas y recreativas;
2;23522;Pedagogos reeducadores / Pedagogas reeducadoras;CISH;Ciencias sociales y humanidades;
2;23540;Otros profesores de música / Otras profesoras de música;AVEM;Audiovisuales, y artes escénicas y música;
2;23550;Otros profesores de artes / Otras profesoras de artes;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;23550;Otros profesores de artes / Otras profesoras de artes;AVEM;Audiovisuales, y artes escénicas y música;
2;23560;Instructores de tecnología de la información / Instructoras de tecnología de la información;TICO;Tecnologías de la información y las comunicaciones;
2;24220;Profesionales en políticas sociales y de administración;SABI;Salud y bienestar;
2;24232;Consejeros de servicios de empleo / Consejeras de servicios de empleo;SABI;Salud y bienestar;
2;24313;Profesionales en negocios internacionales;AFDE;Administración, finanzas y derecho;
2;24320;Profesionales de relaciones públicas y comunicaciones;CISH;Ciencias sociales y humanidades;
2;26211;Archivistas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26211;Archivistas;CISH;Ciencias sociales y humanidades;
2;26211;Archivistas;TICO;Tecnologías de la información y las comunicaciones;
2;26211;Archivistas;AFIR;Actividades físicas, deportivas y recreativas;
2;26212;Curadores de artes visuales y plásticas y de patrimonio cultural / Curadoras de artes visuales y plásticas y de patrimonio cultural;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26212;Curadores de artes visuales y plásticas y de patrimonio cultural / Curadoras de artes visuales y plásticas y de patrimonio cultural;CISH;Ciencias sociales y humanidades;
2;26213;Curadores y supervisores musicales / Curadoras y supervisoras musicales;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26213;Curadores y supervisores musicales / Curadoras y supervisoras musicales;AVEM;Audiovisuales, y artes escénicas y música;
2;26216;Restauradores y conservadores de patrimonio cultural construido / Restauradoras y conservadoras de patrimonio cultural construido;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26216;Restauradores y conservadores de patrimonio cultural construido / Restauradoras y conservadoras de patrimonio cultural construido;COIF;Construcción e infraestructura;
2;26219;Otros archivistas, curadores de arte y restauradores no clasificados en otras ocupaciones / Otras archivistas, curadoras de arte y restauradoras no clasificadas en otras ocupaciones;CISH;Ciencias sociales y humanidades;
2;26220;Bibliotecólogos, documentalistas y afines / Bibliotecólogas, documentalistas y afines;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26220;Bibliotecólogos, documentalistas y afines / Bibliotecólogas, documentalistas y afines;CISH;Ciencias sociales y humanidades;
2;26310;Economistas;AFDE;Administración, finanzas y derecho;
2;26310;Economistas;COMP;Comercio, mercadeo y publicidad;
2;26310;Economistas;FAMA;Fabricación, transformación de materiales, instalación, mantenimiento y reparación;
2;26310;Economistas;TUHG;Turismo, hotelería y gastronomía;
2;26320;Sociólogos, antropólogos y afines / Sociólogas, antropólogas y afines;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26330;Filósofos, historiadores y especialistas en ciencias políticas / Filósofas, historiadoras y especialistas en ciencias políticas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
2;26340;Psicólogos / Psicólogas;SABI;Salud y bienestar;
2;26351;Profesionales del trabajo social y consejeros;SABI;Salud y bienestar;
2;26352;Gestores de recursos y donaciones / Gestoras de recursos y donaciones;SEPC;Servicios Personales y a la Comunidad;
2;26352;Gestores de recursos y donaciones / Gestoras de recursos y donaciones;CISH;Ciencias sociales y humanidades;
2;26360;Profesionales religiosos y ministros de culto / Profesionales religiosas y ministras de culto;SEPC;Servicios Personales y a la Comunidad;
2;26421;Periodistas;CISH;Ciencias sociales y humanidades;
2;26421;Periodistas;LIAG;Literatura y artes gráficas;
2;26422;Editores y redactores / Editoras y redactoras;AVEM;Audiovisuales, y artes escénicas y música;
2;26431;Traductores, intérpretes y lingüistas / Traductoras, intérpretes y lingüistas;SEPC;Servicios Personales y a la Comunidad;
2;26432;Traductores e intérpretes de lenguas nativas / Traductoras e intérpretes de lenguas nativas;AVPP;Artes visuales, plásticas y del patrimonio cultural;
