code,municipality,type
15686,SANTANA,Municipio
15690,SANTA MARÍA,Municipio
15693,SANTA ROSA DE VITERBO,Municipio
15696,SANTA SOFÍA,Municipio
15720,SATIVANORTE,Municipio
15723,SATIVASUR,Municipio
15740,SIACHOQUE,Municipio
15753,SOATÁ,Municipio
15755,SOCOTÁ,Municipio
15757,SOCHA,Municipio
15759,SOGAMOSO,Municipio
15761,SOMONDOCO,Municipio
15762,SORA,Municipio
15763,SOTAQUIRÁ,Municipio
15764,SORACÁ,Municipio
15774,SUSACÓN,Municipio
15776,SUTAMARCHÁN,Municipio
15778,SUTATENZA,Municipio
15790,TASCO,Municipio
15798,TENZA,Municipio
15804,TIBANÁ,Municipio
15806,TIBASOSA,Municipio
15808,TINJACÁ,Municipio
15810,TIPACOQUE,Municipio
15814,TOCA,Municipio
15816,TOGÜÍ,Municipio
15820,TÓPAGA,Municipio
15822,TOTA,Municipio
15832,TUNUNGUÁ,Municipio
15835,TURMEQUÉ,Municipio
15837,TUTA,Municipio
15839,TUTAZÁ,Municipio
15842,ÚMBITA,Municipio
15861,VENTAQUEMADA,Municipio
15879,VIRACACHÁ,Municipio
15897,ZETAQUIRA,Municipio
17001,MANIZALES,Municipio
17013,AGUADAS,Municipio
17042,ANSERMA,Municipio
17050,ARANZAZU,Municipio
17088,BELALCÁZAR,Municipio
17174,CHINCHINÁ,Municipio
17272,FILADELFIA,Municipio
17380,LA DORADA,Municipio
17388,LA MERCED,Municipio
17433,MANZANARES,Municipio
17442,MARMATO,Municipio
17444,MARQUETALIA,Municipio
17446,MARULANDA,Municipio
17486,NEIRA,Municipio
17495,NORCASIA,Municipio
17513,PÁCORA,Municipio
17524,PALESTINA,Municipio
17541,PENSILVANIA,Municipio
17614,RIOSUCIO,Municipio
17616,RISARALDA,Municipio
17653,SALAMINA,Municipio
17662,SAMANÁ,Municipio
17665,SAN JOSÉ,Municipio
17777,SUPÍA,Municipio
17867,VICTORIA,Municipio
17873,VILLAMARÍA,Municipio
17877,VITERBO,Municipio
18001,FLORENCIA,Municipio
18029,ALBANIA,Municipio
18094,BELÉN DE LOS ANDAQUÍES,Municipio
18150,CARTAGENA DEL CHAIRÁ,Municipio
18205,CURILLO,Municipio
18247,EL DONCELLO,Municipio
18256,EL PAUJÍL,Municipio
18410,LA MONTAÑITA,Municipio
18460,MILÁN,Municipio
18479,MORELIA,Municipio
18592,PUERTO RICO,Municipio
18610,SAN JOSÉ DEL FRAGUA,Municipio
18753,SAN VICENTE DEL CAGUÁN,Municipio
18756,SOLANO,Municipio
18785,SOLITA,Municipio
18860,VALPARAÍSO,Municipio
19001,POPAYÁN,Municipio
19022,ALMAGUER,Municipio
19050,ARGELIA,Municipio
19075,BALBOA,Municipio
19100,BOLÍVAR,Municipio
19110,BUENOS AIRES,Municipio
19130,CAJIBÍO,Municipio
19137,CALDONO,Municipio
19142,CALOTO,Municipio
19212,CORINTO,Municipio
19256,EL TAMBO,Municipio
19290,FLORENCIA,Municipio
19300,GUACHENÉ,Municipio
19318,GUAPÍ,Municipio
19355,INZÁ,Municipio
19364,JAMBALÓ,Municipio
19392,LA SIERRA,Municipio
19397,LA VEGA,Municipio
19418,LÓPEZ DE MICAY,Municipio
19450,MERCADERES,Municipio
19455,MIRANDA,Municipio
19473,MORALES,Municipio
19513,PADILLA,Municipio
19517,PÁEZ,Municipio
19532,PATÍA,Municipio
19533,PIAMONTE,Municipio
19548,PIENDAMÓ - TUNÍA,Municipio
19573,PUERTO TEJADA,Municipio
19585,PURACÉ,Municipio
19622,ROSAS,Municipio
19693,SAN SEBASTIÁN,Municipio
19698,SANTANDER DE QUILICHAO,Municipio
19701,SANTA ROSA,Municipio
19743,SILVIA,Municipio
19760,SOTARA,Municipio
